transaction_type_online purchase,transaction_type_transfer,transaction_type_withdrawal,merchant_category_Clothing,merchant_category_Crypto,merchant_category_Electronics,merchant_category_Entertainment,merchant_category_Food,merchant_category_Gambling,merchant_category_Services,merchant_category_Travel,merchant_category_Utilities,device_type_desktop,device_type_mobile,device_type_tablet,payment_channel_bank,payment_channel_card,payment_channel_e-wallet,description_tone_panic,description_tone_routine,description_tone_urgent,semantic_merchant_category_crypto/finance,semantic_merchant_category_daily essentials,semantic_merchant_category_luxury goods,semantic_merchant_category_other,semantic_merchant_category_services,transaction_amount,account_balance_before,account_balance_after,avg_transaction_amount_7d,time_since_last_transaction_hr,account_age_days,description_risk_score,transaction_frequency_24h,num_failed_transactions_7d,transaction_hour,is_weekend,num_devices_used,num_countries_used,kyc_verified,is_fraud
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.24720253317058605,0.851900809850505,0.9693798775798774,-0.19877467570579896,0.494069540262444,-0.9297899142446563,-0.3688412036736182,0.0,0.0,8.0,0.0,2.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.3728278965369571,-1.2092659185560037,-1.1069548414984793,-0.19877467570579896,2.3721675358077334,0.7617063290820835,-0.3688412036736182,0.0,0.0,7.0,0.0,2.0,0.0,1.0,0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.03524276861273976,0.17922147248237083,0.1976814433983589,-0.19877467570579896,-0.650654174927304,-1.9644817652158004,-0.3688412036736182,0.0,0.0,19.0,0.0,1.0,0.0,0.0,1
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.746291106690476,-0.17670705841593537,-1.203315223336466,-0.19877467570579896,0.901576027584029,-0.5608997760723354,3.3107547815580154,0.0,0.0,3.0,0.0,1.0,1.0,1.0,1
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.23697488412364628,0.43253023412628855,0.35736477788267407,-0.19877467570579896,0.344827445365461,-1.0647497208930663,-0.3688412036736182,0.0,0.0,10.0,0.0,2.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.07765756963470635,2.012644265017613,2.044166511873141,-0.19877467570579896,1.3269441019361083,-0.18301231745678717,-0.3688412036736182,0.0,0.0,17.0,0.0,1.0,0.0,0.0,0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.3774676364649343,-0.7035177548396466,-0.5842965963403701,-0.19877467570579896,-0.12017336720183311,-1.4876237817247513,-0.3688412036736182,0.0,0.0,21.0,0.0,1.0,0.0,1.0,0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.36435107211158096,-0.9529250003579065,-0.8460698095277743,-0.19877467570579896,0.9660234647973196,-0.5069158534129714,-0.3688412036736182,0.0,0.0,14.0,0.0,1.0,0.0,1.0,0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.4072246182814972,-1.2237199049273257,-1.1090515315838025,-0.19877467570579896,2.029441568907467,0.4557974340123539,-0.3688412036736182,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.3136402526470286,1.2929700350416942,0.4713795814460398,-0.19877467570579896,1.1845676846645996,-0.3089748036619699,0.09110829448033599,0.0,0.0,11.0,0.0,1.0,0.0,1.0,0
