transaction_id,customer_id,timestamp,transaction_amount,merchant_category,transaction_country,transaction_description,is_fraud,description_length,transaction_frequency,consistency_score,entity_has_payment_instruments,entity_has_gift_cards,entity_has_crypto,entity_has_subscriptions,entity_has_refunds,entity_has_P2P,entity_has_digital_goods
TX000000,CUST0114,2025-01-01 00:01:00,102.77,Restaurants,FR,restaurant dinner,0,17,12,10,0,0,0,0,0,0,0
TX000001,CUST0192,2025-01-01 01:35:00,69.34,Online Retail,FR,online book order,0,17,16,10,0,0,0,0,0,0,0
TX000002,CUST0120,2025-01-01 02:45:00,12.37,Fuel,FR,gas station fill-up,0,19,13,10,0,0,0,0,0,0,0
TX000003,CUST0089,2025-01-01 03:12:00,34.62,Groceries,FR,supermarket run,0,15,18,10,0,0,0,0,0,0,0
TX000004,CUST0007,2025-01-01 04:10:00,76.51,Entertainment,FR,local cinema tickets,0,20,11,10,0,0,0,0,0,0,0
TX000005,CUST0164,2025-01-01 05:20:00,9.99,Services,FR,monthly streaming subscription,0,30,17,9,0,0,0,1,0,0,1
TX000006,CUST0057,2025-01-01 06:02:00,129.43,Clothing,FR,clothing store shopping,0,23,15,10,0,0,0,0,0,0,0
TX000007,CUST0137,2025-01-01 07:03:00,45.18,Restaurants,FR,takeaway food order,0,19,20,10,0,0,0,0,0,0,0
TX000008,CUST0125,2025-01-01 08:29:00,54.01,Groceries,FR,grocery store visit,0,19,17,10,0,0,0,0,0,0,0
TX000009,CUST0104,2025-01-01 09:51:00,110.45,Services,FR,internet service fee,0,20,12,10,0,0,0,1,0,0,0
TX000010,CUST0060,2025-01-02 10:42:00,149.38,Clothing,FR,new shoes purchase,0,18,9,10,0,0,0,0,0,0,0
TX000011,CUST0008,2025-01-02 11:29:00,11.45,Restaurants,FR,fast food lunch,0,15,14,10,0,0,0,0,0,0,0
TX000012,CUST0082,2025-01-02 12:15:00,289.87,Electronics,FR,tech gadget accessory,0,21,13,10,0,0,0,0,0,0,0
TX000013,CUST0079,2025-01-02 13:01:00,10.99,Restaurants,FR,coffee shop purchase,0,20,12,10,0,0,0,0,0,0,0
TX000014,CUST0125,2025-01-02 14:40:00,79.99,Services,FR,haircut service,0,15,17,10,0,0,0,0,0,0,0
TX000015,CUST0195,2025-01-02 15:42:00,90.72,Groceries,FR,supermarket run,0,15,11,10,0,0,0,0,0,0,0
TX000016,CUST0045,2025-01-02 16:47:00,33.1,Pharmacy,FR,pharmacy prescription,0,21,18,10,0,0,0,0,0,0,0
TX000017,CUST0104,2025-01-02 17:35:00,67.5,Entertainment,FR,local cinema tickets,0,20,12,10,0,0,0,0,0,0,0
TX000018,CUST0110,2025-01-02 18:56:00,98.41,Services,FR,public transport ticket,0,23,13,9,0,0,0,0,0,0,0
TX000019,CUST0003,2025-01-02 19:49:00,62.58,Online Retail,FR,online book order,0,17,10,10,0,0,0,0,0,0,0
TX000020,CUST0072,2025-01-03 20:52:00,12.99,Restaurants,FR,coffee shop purchase,0,20,8,10,0,0,0,0,0,0,0
TX000021,CUST0177,2025-01-03 21:58:00,78.23,Groceries,FR,grocery store visit,0,19,18,10,0,0,0,0,0,0,0
TX000022,CUST0088,2025-01-03 22:57:00,39.5,Services,FR,haircut service,0,15,11,10,0,0,0,0,0,0,0
TX000023,CUST0192,2025-01-03 23:08:00,47.9,Restaurants,FR,takeaway food order,0,19,16,10,0,0,0,0,0,0,0
TX000024,CUST0139,2025-01-03 00:23:00,8.5,Restaurants,FR,coffee shop purchase,0,20,12,10,0,0,0,0,0,0,0
TX000025,CUST0128,2025-01-03 01:28:00,11.23,Restaurants,FR,fast food lunch,0,15,23,10,0,0,0,0,0,0,0
TX000026,CUST0061,2025-01-03 02:50:00,89.1,Clothing,FR,clothing store shopping,0,23,16,10,0,0,0,0,0,0,0
TX000027,CUST0196,2025-01-03 03:57:00,119.99,Services,FR,internet service fee,0,20,15,10,0,0,0,1,0,0,0
TX000028,CUST0159,2025-01-03 04:37:00,22.8,Fuel,FR,gas station fill-up,0,19,24,10,0,0,0,0,0,0,0
