Feature,Importance
transaction_hour,0.04152777777777783
description_risk_score,0.031111111111111138
time_since_last_transaction_hr,0.009583333333333378
merchant_category_Food,0.005833333333333375
semantic_merchant_category_daily essentials,0.0031944444444444702
merchant_category_Services,0.0025000000000000022
transaction_amount,0.0019444444444444487
transaction_frequency_24h,0.001250000000000003
merchant_category_Clothing,0.0012499999999999992
transaction_type_online purchase,0.000694444444444442
merchant_category_Travel,0.000555555555555561
transaction_type_transfer,0.0004166666666666652
semantic_merchant_category_other,1.4802973661668754e-17
description_tone_urgent,0.0
merchant_category_Entertainment,0.0
transaction_type_withdrawal,0.0
description_tone_routine,0.0
semantic_merchant_category_luxury goods,0.0
description_tone_panic,0.0
merchant_category_Gambling,0.0
num_devices_used,-0.0001388888888888773
merchant_category_Electronics,-0.0002777777777777768
num_failed_transactions_7d,-0.0002777777777777768
merchant_category_Utilities,-0.0002777777777777768
payment_channel_e-wallet,-0.0004166666666666578
payment_channel_card,-0.0005555555555555387
device_type_tablet,-0.000694444444444442
account_balance_after,-0.000972222222222204
num_countries_used,-0.000972222222222215
kyc_verified,-0.0011111111111110925
is_weekend,-0.001249999999999988
device_type_mobile,-0.0016666666666666533
account_balance_before,-0.0018055555555555344
device_type_desktop,-0.0020833333333333147
payment_channel_bank,-0.002777777777777768
semantic_merchant_category_crypto/finance,-0.00347222222222221
merchant_category_Crypto,-0.003749999999999987
semantic_merchant_category_services,-0.003749999999999987
avg_transaction_amount_7d,-0.003749999999999987
account_age_days,-0.00388888888888886
